id,ballkid,captain,count,duration
1224,583,575,2,1:04:27.431696
1264,582,581,1,0:21:53.543827
1219,548,581,2,2:27:25.307305
1282,593,590,4,3:03:32.576397
1221,532,581,1,0:27:25.307305
1251,636,596,1,1:00:00
1231,611,585,1,1:00:00
1280,544,590,3,5:45:42.960733
1277,547,597,1,1:51:51.146252
1243,591,575,2,2:21:53.543827
1226,547,575,2,2:27:25.307305
1233,585,596,1,1:00:00
1229,532,575,1,0:27:25.307305
1286,635,640,1,1:00:00
1296,582,575,2,2:21:53.543827
1227,548,575,2,3:27:25.307305
1257,563,599,1,1:00:00
1248,625,596,1,1:00:00
1194,562,599,1,1:00:00
1289,572,592,2,1:27:25.307305
1265,626,581,1,0:21:53.543827
1268,584,574,1,4:55:40.584688
1305,626,575,1,0:21:53.543827
1273,626,574,2,1:21:53.543827
1303,515,575,2,1:21:53.543827
1276,574,575,1,0:21:53.543827
1071,528,575,3,6:37:02.124391
1214,622,590,3,4:58:41.886339
1302,534,575,1,0:21:53.543827
1320,637,575,1,4:00:00
1353,598,581,1,1:00:00
1405,573,591,1,2:00:00
1412,541,595,1,1:00:00
1363,589,590,2,1:29:37.670723
1382,608,598,1,3:00:00
1374,582,639,2,2:00:00
1332,577,640,1,1:53:00.964433
1349,515,592,2,5:00:00
1344,525,585,2,8:45:45.643779
1395,623,639,1,1:00:00
1411,512,575,2,2:09:38.114374
1378,595,639,1,0:10:11.247046
1370,593,591,1,5:00:00
1359,562,590,3,6:12:12.162374
1398,513,598,1,1:27:12.930475
1314,605,592,1,4:00:00
1396,513,589,2,5:00:00
1317,516,574,1,3:00:00
1342,547,585,1,4:00:00
1387,606,595,1,0:10:11.247046
1401,519,589,1,1:00:00
1346,559,585,1,4:00:00
1364,590,639,2,1:29:37.670723
1381,639,595,1,0:10:11.247046
1313,535,574,2,3:00:00
1380,639,582,2,2:00:00
1383,521,582,1,2:00:00
1391,625,595,3,1:44:16.351084
1341,556,592,3,9:00:00
1384,521,595,1,0:10:11.247046
1367,612,574,1,1:00:00
1377,606,639,2,2:00:00
1335,557,594,1,2:00:00
1333,616,599,1,2:16:58.768705
1327,513,586,1,2:00:00
1410,547,578,1,4:00:00
1386,629,582,2,4:00:00
1337,561,589,1,1:00:00
