id,ballkid,year,court,count,duration
7220075,520,2024,Harris,6,5:33:16.047783
7220074,520,2024,Court 4,7,7:00:00
7220073,520,2024,Stadium,15,15:00:00
7220072,517,2024,Grandstand,1,1:00:00
7220071,517,2024,Court 5,1,1:00:00
7220070,517,2024,Harris,0,0:00:00
7220069,517,2024,Court 4,0,0:00:00
7220068,517,2024,Stadium,0,0:00:00
7220067,676,2024,Grandstand,7,6:32:09.721826
7220066,676,2024,Court 5,5,0:04:02.507164
7220065,676,2024,Harris,3,2:50:32.351474
7220064,676,2024,Court 4,4,4:00:00
7220063,676,2024,Stadium,7,5:49:43.599705
7220062,619,2024,Grandstand,8,8:00:00
7220061,619,2024,Court 5,3,3:00:00
7220060,619,2024,Harris,7,6:29:40.451754
7220059,619,2024,Court 4,1,"-1 day, 23:20:17.284989"
7220058,619,2024,Stadium,10,10:00:00
7220057,627,2024,Grandstand,1,0:32:09.743372
7220056,627,2024,Court 5,0,0:00:00
7220055,627,2024,Harris,3,2:51:59.296072
7220054,627,2024,Court 4,3,3:00:00
7220053,627,2024,Stadium,2,1:08:00.703928
7220052,615,2024,Grandstand,5,5:00:00
7220051,615,2024,Court 5,2,2:00:00
7220050,615,2024,Harris,4,3:36:52.994036
7220049,615,2024,Court 4,5,5:00:00
7220048,615,2024,Stadium,7,5:57:58.358082
7220047,604,2024,Grandstand,0,0:00:00
7220046,604,2024,Court 5,0,0:00:00
7220045,604,2024,Harris,0,0:00:00
7220044,604,2024,Court 4,1,1:00:00
7220043,604,2024,Stadium,0,0:00:00
7220042,584,2024,Grandstand,4,3:18:32.059936
7220041,584,2024,Court 5,1,1:00:00
7220040,584,2024,Harris,8,7:27:44.976435
7220039,584,2024,Court 4,4,3:19:50.201196
7220038,584,2024,Stadium,6,4:12:47.271124
7220037,628,2024,Grandstand,6,5:49:38.884407
7220036,628,2024,Court 5,5,5:00:00
7220035,628,2024,Harris,6,6:00:00
7220034,628,2024,Court 4,5,5:00:00
7220033,628,2024,Stadium,16,15:58:43.693655
7220032,554,2024,Grandstand,6,5:23:14.905828
7220031,554,2024,Court 5,5,1:15:50.232545
7220030,554,2024,Harris,10,9:49:23.016178
7220029,554,2024,Court 4,4,3:01:04.601730
7220028,554,2024,Stadium,17,16:55:05.799178
7220027,636,2024,Grandstand,6,6:00:00
7220026,636,2024,Court 5,1,1:00:00
7220025,636,2024,Harris,9,8:04:24.188653
7220024,636,2024,Court 4,3,3:00:00
7220023,636,2024,Stadium,9,9:00:00
7220022,596,2024,Grandstand,6,5:34:31.850744
7220021,596,2024,Court 5,1,1:00:00
7220020,596,2024,Harris,8,8:00:00
7220019,596,2024,Court 4,6,6:00:00
7220018,596,2024,Stadium,14,14:00:00
7220017,542,2024,Grandstand,2,1:30:50.031290
7220016,542,2024,Court 5,1,1:00:00
7220015,542,2024,Harris,2,2:00:00
7220014,542,2024,Court 4,5,4:38:27.411333
