id,ballkid,captain,year,count,duration
3263,609,572,2024,1,6:00:00
3262,630,582,2024,1,7:49:23.016178
3261,561,582,2024,1,6:00:00
3260,561,599,2024,1,6:00:00
3259,660,582,2024,2,8:49:23.016178
3258,660,599,2024,2,8:49:23.016178
3257,612,582,2024,1,4:00:00
3256,612,599,2024,1,4:00:00
3255,619,582,2024,1,7:49:23.016178
3254,619,599,2024,3,14:29:40.458445
3253,620,590,2024,4,11:50:44.461322
3252,620,574,2024,4,17:37:05.583459
3251,672,590,2024,1,6:18:28.421744
3250,532,590,2024,1,6:18:28.421744
3249,532,574,2024,1,8:47:51.004526
3248,659,574,2024,1,6:00:00
3247,659,590,2024,1,6:00:00
3246,564,594,2024,1,6:00:00
3245,654,594,2024,1,6:00:00
3244,682,594,2024,1,6:00:00
3243,623,594,2024,1,4:00:00
3242,661,594,2024,1,6:00:00
3241,552,594,2024,1,6:00:00
3240,515,594,2024,1,6:00:00
3239,676,592,2024,1,4:00:00
3238,622,592,2024,2,9:02:05.945635
3237,518,592,2024,5,19:43:09.460897
3236,650,592,2024,1,7:00:00
3235,618,592,2024,2,8:33:40.375294
3234,551,592,2024,1,7:00:00
3233,586,597,2024,1,4:00:00
3232,565,591,2024,2,5:24:56.398110
3231,608,591,2024,1,4:24:56.398110
3230,669,591,2024,1,4:24:56.398110
3229,528,591,2024,2,5:23:37.926804
3228,648,591,2024,2,6:24:56.398110
3227,524,591,2024,3,9:47:39.967300
3226,667,572,2024,1,4:00:00
3225,680,582,2024,2,8:49:23.016178
3224,636,644,2024,1,6:18:33.844724
3223,670,644,2024,1,6:18:33.844724
